iter	Passed	Remaining
0	0	71
1	1	63
2	1	59
3	2	54
4	2	53
5	3	51
6	3	50
7	4	49
8	4	50
9	5	50
10	6	49
11	6	49
12	7	49
13	7	49
14	8	48
15	9	47
16	9	47
17	10	46
18	10	45
19	11	45
20	11	44
21	12	44
22	12	43
23	13	42
24	14	42
25	14	41
26	15	41
27	15	40
28	16	39
29	16	39
30	17	38
31	18	38
32	18	37
33	19	37
34	19	36
35	20	35
36	20	35
37	21	34
38	21	34
39	22	33
40	23	33
41	23	32
42	23	31
43	24	31
44	24	30
45	25	29
46	26	29
47	26	28
48	27	28
49	27	27
50	28	27
51	28	26
52	29	26
53	29	25
54	30	24
55	30	24
56	31	23
57	31	23
58	32	22
59	33	22
60	33	21
61	34	20
62	34	20
63	35	19
64	36	19
65	36	19
66	37	18
67	38	17
68	38	17
69	39	16
70	39	16
71	40	15
72	40	15
73	41	14
74	42	14
75	42	13
76	43	12
77	43	12
78	44	11
79	44	11
80	45	10
81	45	10
82	46	9
83	47	8
84	47	8
85	48	7
86	48	7
87	49	6
88	49	6
89	50	5
90	51	5
91	51	4
92	52	3
93	52	3
94	53	2
95	53	2
96	54	1
97	54	1
98	55	0
99	55	0
